INFORME DE COMPARACION IFC - BC3;;
Generado: 05/01/2026 11:41;;
;;
RESUMEN EJECUTIVO;;
398 errores y 136 avisos detectados;;
;;
ESTADISTICAS DE EMPAREJAMIENTO;;
Concepto;Valor;Descripcion
Tipos en modelo IFC;398;Familias/tipos encontrados en el archivo IFC
Partidas en presupuesto BC3;136;Elementos encontrados en el archivo BC3
Emparejados correctamente;0;Elementos que coinciden entre modelo y presupuesto
Solo en IFC (sin presupuestar);398;Elementos modelados pero no incluidos en presupuesto
Solo en BC3 (sin modelar);136;Partidas presupuestadas pero no modeladas
Tasa de emparejamiento;0.0%;Porcentaje de elementos emparejados
;;
RESULTADOS DE LA COMPARACION;;
Tipo;Codi/Nom;Estat
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393374;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355850;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:419898;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350250;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355875;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393394;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355865;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Door Closers_Cam-Motion®_ASSA ABLOY_DC500 3D:DC500:392422;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Architectural and Accessory Hardware_TONIC LINE_Litto ASSA ABLOY_TL1102LSS 3D:4XTL1102LSS:392480;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:421771;No trobat al BC3
Error (Solo en IFC);Techo compuesto:600 x 600mm Grid:387579;No trobat al BC3
